contact_id,first_name,last_name,email,phone,company_id,lifecycle_stage,is_subscribed,lead_source,preferred_contact_method,is_decision_maker
1,Hope,Beer,hope.beer@duffworks.com,5550422,227,subscriber,0,Cold Outreach,SMS,True
2,Rhodey,Rhodes,rhodey.rhodes@anchorcorp.com,555.0611,221,opportunity,False,Trade Show,No Preference,True
3,Bucky,Barnes,bucky.barnes@stellarventures.com,555-0245,41,evangelist,False,Cold Outreach,SMS,True
4,Norman,Hendricks,norman.hendricks@siriusworks.com,555-0278,234,salesqualifiedlead,1,Webinar,Email,True
5,Norman,Stark,norman.stark@starkindustries.com,555.0744,65,lead,0,Cold Outreach,No Preference,False
6,Sam,Potts,sam.potts@umbrellaglobal.com,555-0863,17,lead,No,Referral,No Preference,Yes
7,Bucky,Doe,bucky.doe@piedpipercorp.com,555-0998,128,customer,True,Organic Search,Email,True
8,Pepper,Barnes,pepper.barnes@nimbussolutions.com,555-0162,160,subscriber,True,Cold Outreach,No Preference,True
9,Sam,Connor,sam.connor@piedpipertechnologies.com,555-0241,112,marketingqualifiedlead,Yes,Trade Show,Email,True
10,John,Brown,john.brown@meridiancorp.com,555-0158,244,subscriber,No,Referral,SMS,True
11,Sara,Romanoff,sara.romanoff@lanternnetworks.com,555-0128,275,marketingqualifiedlead,False,Organic Search,Phone,No
12,Natasha,Hendricks,natasha.hendricks@umbrellallc.com,555-0448,21,opportunity,True,Trade Show,Phone,False
13,Happy,Grey,happy.grey@gringottsllc.com,5550543,284,evangelist,False,Organic Search,Email,False
14,Norman,Smith,norman.smith@nimbustechnologies.com,555-0244,187,subscriber,False,Webinar,No Preference,True
15,Kate,Carter,kate.carter@horizonnetworks.com,555-0535,165,subscriber,True,Webinar,Email,No
16,Miles,Stark,miles.stark@cyberdynedynamics.com,555-0538,199,opportunity,False,Webinar,Email,0
17,Rhodey,Wayne,rhodey.wayne@gringottsnetworks.com,555-0761,32,salesqualifiedlead,True,Trade Show,SMS,True
18,Steve,Hardy,steve.hardy@anchorcollective.com,+1-555-0742,266,lead,0,Trade Show,Phone,False
19,Tony,Romanoff,tony.romanoff@initechdynamics.com,555-0170,219,opportunity,False,Partner,Phone,False
20,Natasha,Maximoff,natasha.maximoff@atlascollective.com,555-0422,167,salesqualifiedlead,False,Trade Show,Phone,True
21,Bucky,Bishop,bucky.bishop@novapartners.com,555-0463,131,salesqualifiedlead,1,Cold Outreach,Email,False
22,John,Rogers,john.rogers@nimbusenterprises.com,555-0022,110,customer,True,Referral,Email,True
23,Richard,Shepherd,richard.shepherd@nimbussystems.com,555-0262,299,subscriber,True,Partner,Email,False
24,Norman,VanDyne,norman.vandyne@atlasllc.com,555-0097,296,marketingqualifiedlead,No,Referral,Email,False
25,Natasha,Leeds,natasha.leeds@meridiancollective.com,555-0232,62,evangelist,True,Partner,No Preference,1
26,Wanda,Khan,wanda.khan@cyberdyneventures.com,+1-555-0226,168,salesqualifiedlead,True,Webinar,No Preference,False
27,Nina,Hendricks,nina.hendricks@meridiancorp.com,555-0050,244,marketingqualifiedlead,No,Partner,Phone,False
28,Scott,Dyson,scott.dyson@oscorpcollective.com,555-0630,293,opportunity,1,Cold Outreach,No Preference,True
29,Gavin,Parker,gavin.parker@waynelabs.com,555-0352,179,subscriber,True,Cold Outreach,No Preference,False
30,Mike,Beer,mike.beer@soylentventures.com,555-0745,192,subscriber,True,Trade Show,Phone,False
31,John,Barton,john.barton@zenithsolutions.com,(555) 0482,57,customer,True,Trade Show,SMS,True
32,Jane,Barnes,JANE.BARNES@DUFFNETWORKS.COM,(555) 0174,270,evangelist,False,Referral,No Preference,True
33,Tom,Barnes,tom.barnes@soylentcorp.com,+1-555-0019,185,lead,True,Cold Outreach,No Preference,True
34,Norman,Dyson,norman.dyson@cobaltco.com,(555) 0729,235,opportunity,False,Organic Search,Phone,Yes
35,Natasha,Rogers,natasha.rogers@apexpartners.com,555-0063,257,salesqualifiedlead,True,Trade Show,SMS,Yes
36,Carol,Hendricks,carol.hendricks@duffllc.com,555-0694,196,customer,False,Webinar,Phone,False
37,Kamala,Barton,kamala.barton@cobaltcorp.com,555-0141,68,customer,True,Cold Outreach,Phone,True
38,Hank,Weasley,hank.weasley@catalystholdings.com,5550736,286,evangelist,True,Cold Outreach,No Preference,False
39,Ned,Grey,ned.grey@titanllc.com,5550189,97,opportunity,True,Trade Show,Phone,1
40,Natasha,Wayne,natasha.wayne@umbrellasystems.com,555-0866,245,customer,True,Organic Search,No Preference,True
41,Miles,Beer,miles.beer@beaconcorp.com,555-0973,8,customer,True,Webinar,Email,No
42,Kate,VanDyne,kate.vandyne@cobaltco.com,555-0437,235,subscriber,False,Partner,SMS,True
43,Wong,Stark,wong.stark@summitindustries.com,555-0251,22,salesqualifiedlead,True,Trade Show,No Preference,True
44,Miles,Carter,miles.carter@apexgroup.com,555-0292,156,salesqualifiedlead,True,Partner,Phone,False
45,Bruce,Lang,bruce.lang@beaconventures.com,555-0712,300,salesqualifiedlead,False,Referral,Phone,True
